latitude,longitude,time
28.8816064,-81.2812256,2022-05-10 15:05:09.700000+00:00
28.881577,-81.2812347,2022-05-10 15:05:09.800000+00:00
28.8815477,-81.28124389999999,2022-05-10 15:05:09.900000+00:00
28.8815183,-81.2812531,2022-05-10 15:05:10+00:00
28.881488899999997,-81.2812623,2022-05-10 15:05:10.100000+00:00
28.8814595,-81.2812714,2022-05-10 15:05:10.200000+00:00
28.8814301,-81.2812807,2022-05-10 15:05:10.300000+00:00
28.881400799999998,-81.28129,2022-05-10 15:05:10.400000+00:00
28.8813714,-81.2812993,2022-05-10 15:05:10.500000+00:00
28.881342,-81.2813086,2022-05-10 15:05:10.600000+00:00
28.8813127,-81.28131789999999,2022-05-10 15:05:10.700000+00:00
28.881283399999997,-81.2813273,2022-05-10 15:05:10.800000+00:00
28.8812541,-81.28133679999999,2022-05-10 15:05:10.900000+00:00
28.8812248,-81.2813461,2022-05-10 15:05:11+00:00
28.881195299999998,-81.28135549999999,2022-05-10 15:05:11.100000+00:00
28.881166099999998,-81.2813649,2022-05-10 15:05:11.200000+00:00
28.8811367,-81.2813743,2022-05-10 15:05:11.300000+00:00
28.8811073,-81.2813838,2022-05-10 15:05:11.400000+00:00
28.8810778,-81.2813931,2022-05-10 15:05:11.500000+00:00
28.8810485,-81.2814025,2022-05-10 15:05:11.600000+00:00
28.881019199999997,-81.2814119,2022-05-10 15:05:11.700000+00:00
28.880989699999997,-81.28142129999999,2022-05-10 15:05:11.800000+00:00
28.8809604,-81.2814308,2022-05-10 15:05:11.900000+00:00
28.8809309,-81.28144019999999,2022-05-10 15:05:12+00:00
28.8809015,-81.2814495,2022-05-10 15:05:12.100000+00:00
28.8808722,-81.281459,2022-05-10 15:05:12.200000+00:00
28.8808428,-81.2814683,2022-05-10 15:05:12.300000+00:00
28.880813399999997,-81.2814777,2022-05-10 15:05:12.400000+00:00
28.8807841,-81.28148709999999,2022-05-10 15:05:12.500000+00:00
28.8807548,-81.2814965,2022-05-10 15:05:12.600000+00:00
28.880725299999998,-81.2815059,2022-05-10 15:05:12.700000+00:00
28.880696,-81.2815152,2022-05-10 15:05:12.800000+00:00
28.8806665,-81.2815244,2022-05-10 15:05:12.900000+00:00
28.880637099999998,-81.2815337,2022-05-10 15:05:13+00:00
28.8806078,-81.2815431,2022-05-10 15:05:13.100000+00:00
28.8805783,-81.2815524,2022-05-10 15:05:13.200000+00:00
28.8805488,-81.2815616,2022-05-10 15:05:13.300000+00:00
28.8805195,-81.28157089999999,2022-05-10 15:05:13.400000+00:00
28.8804901,-81.2815802,2022-05-10 15:05:13.500000+00:00
28.8804607,-81.2815895,2022-05-10 15:05:13.600000+00:00
28.8804312,-81.2815986,2022-05-10 15:05:13.700000+00:00
28.880401799999998,-81.2816079,2022-05-10 15:05:13.800000+00:00
28.8803725,-81.28161709999999,2022-05-10 15:05:13.900000+00:00
28.880343,-81.2816264,2022-05-10 15:05:14+00:00
28.8803137,-81.2816357,2022-05-10 15:05:14.100000+00:00
28.8802842,-81.2816449,2022-05-10 15:05:14.200000+00:00
28.880254899999997,-81.2816541,2022-05-10 15:05:14.300000+00:00
28.880225499999998,-81.2816634,2022-05-10 15:05:14.400000+00:00
